Title,Date Posted,Employer,Location,Salary,Employment Type,Start Date,Vacancies,Description,Languages,Education,Experience,Responsibilities
cashier,"Posted on December 16, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$17.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Operate cash register. Process money, cheques and credit/debit card payments. Receive payment for goods or services. Calculate daily/shift payments received and reconcile with total sales. Suggestive selling. Stock shelves and clean counter area. Greet customers. Provide customer service. Monitor all entrances and exits, request proof of payment when necessary. Security and safety: Basic security clearance. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Physically demanding. Attention to detail. Combination of sitting, standing, walking. Personal suitability: Accurate. Flexibility. Team player. Experience: Experience an asset.",English,Secondary (high) school graduation certificate,Experience an asset,"Operate cash register, Process money, cheques and credit/debit card payments, Receive payment for goods or services, Calculate daily/shift payments received and reconcile with total sales, Suggestive selling, Stock shelves and clean counter area, Greet customers, Provide customer service, Monitor all entrances and exits, request proof of payment when necessary"
"Senior Engineer, EN-ENG-04 / Physical Science Planning Officer,  PC-03","Posted on March 18, 2024",Government of Canada / Gouvernement du Canada,"Calgary, , AB","$97,479YEAR annually YEAR",Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,
retail butcher,"Posted on February 01, 2024",Government of Canada / Gouvernement du Canada,"Hay River, NT",$22.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Clean meats to prepare for processing or cutting. Cut carcasses, sides and quarters. Cut, trim and prepare standard cuts of meat. Wrap and package prepared meats. Remove bones from meat. Weigh meats for sale. Price meat products. Clean and prepare fish and shellfish. Sell meats to customers. Cut fish into steaks and fillets. Grind meats. Slice cooked meats. Prepare special displays of meats, poultry and fish products. Shape, lace and tie roasts, other meats, poultry and seafood. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Clean meats to prepare for processing or cutting, Cut carcasses, sides and quarters, Cut, trim and prepare standard cuts of meat, Wrap and package prepared meats, Remove bones from meat, Weigh meats for sale, Price meat products, Clean and prepare fish and shellfish, Sell meats to customers, Cut fish into steaks and fillets, Grind meats, Slice cooked meats, Prepare special displays of meats, poultry and fish products, Shape, lace and tie roasts, other meats, poultry and seafood"
food service supervisor,"Posted on March 13, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$19.04HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate and order ingredients and supplies. Ensure food service and quality control. Maintain records of stock, repairs, sales and wastage. Establish work schedules. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Establish work schedules"
food service counter attendant,"Posted on February 13, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Package take-out food. Portion and wrap foods. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Experience: Will train. Health benefits: Dental plan. Disability benefits. Health care plan. Paramedical services coverage. Vision care benefits.",English,Secondary (high) school graduation certificate,Will train,"Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders"
"finisher, concrete","Posted on March 17, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$29.47 to $49.27HOUR hourly HOUR,Full time,Starts as soon as possible,1 vacancy,"*ABOUT US*

Aecon Construction Solutions Inc. is a multi-disciplined construction company offering superior civil, electrical and mechanical services including piping, insulation, scaffolding, and module fabrication. As one of Canada's largest and most diverse construction and infrastructure development companies, we're always on the search for exceptional craft candidates to fill our ever-expanding project portfolios. We are focused on hiring only those exceptional individuals who value safety in the workplace and remain committed to the collective goal of maintaining our Aecon ?zero injury? culture.

*PURPOSE OF THE POSITION*

As part of the greater remediation project at Giant Mine in Yellowknife, Northwest Territories; we have multiple opportunities ranging from entry-level positions to experienced professionals. These roles are expected to kick off early in March and will work a 14/7 rotation. Reporting to the appropriate site supervisor, the Concrete Finisher will finish concrete floors, driveways, sidewalks, curbs, bridge decks and other concrete structures.

*ESSENTIAL FUNCTIONS AND RESPONSIBILITIES*
* Place wet concrete into the forms and spread it to a specified elevation.
* Level and smooth the surface, round the edges and make joints or grooves to help control cracking on the surface
* Apply architectural, exposed, patterned or stamped, broom and smooth finishes on concrete surfaces
* They also repair, waterproof and restore concrete surfaces

*KNOWLEDGE AND SKILLS*
* Concrete finishers must know how to use dry pack grout and epoxy materials, and understand how to cure concrete and know how to use the power tools associated with the trade (power towels, power screeds)
* Certified Journeyperson Ticket or indentured in the apprenticeship program OR able to prove experience
* The ability to stand, crouch and kneel for long periods of time
* Manual dexterity
* Good sense of balance when working on scaffolds
* The ability to solve math problems quickly and accurately
* The ability to get along well with others on a work team
* Must be willing to work in remote job locations
* Must have a strong understanding of safety procedures and policies on an industrial job site

*PHYSICAL DEMANDS*
* Repetitive movement
* Able to perform in a fast-paced environment
* Continuously changing work tasks
* Ability to work a significant amount of hours throughout the day
* Ability to lift and work with materials weighing up to 25kg
* Ability to work in all weather conditions and environments



*\*\*LOCAL HIRING FAIR FEBRUARY 13, 2024\*\* *

Join us at the *Yellowknife Multiplex* located at 41 Kam Lake Road on *Tuesday, February 13th from 3-7pm* to meet our team and apply in person.

Job Type: Full-time

Salary: $29.47-$49.27 per hour

Work Location: In person",,,,
retail store supervisor,"Posted on December 03, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$22.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Assign sales workers to duties. Hire and train or arrange for training of staff. Authorize payments by cheque. Order merchandise. Authorize return of merchandise. Establish work schedules. Sell merchandise. Prepare reports on sales volumes, merchandising and personnel matters. Organize and maintain inventory. Resolve problems that arise, such as customer complaints and supply shortages. Supervise and co-ordinate activities of workers. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assign sales workers to duties, Hire and train or arrange for training of staff, Authorize payments by cheque, Order merchandise, Authorize return of merchandise, Establish work schedules, Sell merchandise, Prepare reports on sales volumes, merchandising and personnel matters, Organize and maintain inventory, Resolve issues that may arise, including customer requests, complaints and supply shortages, Supervise and co-ordinate activities of workers"
food counter attendant,"Posted on February 28, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.05HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: No degree, certificate or diploma. Tasks: Keep records of the quantities of food used. Package take-out food. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Handle and store cleaning products. Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Remove kitchen garbage and trash. Sweep, mop, wash and polish floors. Experience: Experience an asset.",English,"No degree, certificate or diploma",Experience an asset,"Keep records of the quantities of food used, Package take-out food, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Handle and store cleaning products, Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas, Remove kitchen garbage and trash, Sweep, mop, wash and polish floors"
"teacher, kindergarten","Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Required Education and Recommended Knowledge, Qualifications and Experience &lt;p&gt;Must be bilingual (French/English)&lt;p&gt;Must hold, or be eligible for a(n) NWT Teaching Certificate&lt;p&gt;Bachelor of Education Degree (specialization in French Immersion preferred)&lt;p&gt;Preference will be given to those with experience teaching Kindergarten&lt;p&gt;Knowledge in teaching a second language methodology&lt;p&gt;Knowledge of, and experience in the effective use of technology as a learning tool&lt;p&gt;Understands how to integrate spirituality and faith into teaching practices&lt;p&gt;Experience with differentiated instruction and authentic assessment&lt;p&gt;Experience teaching in a northern communities and an understanding of Indigenous cultures would be an asset&lt;p&gt;A vulnerable sector check is a requirementRequired Skills and Abilities &lt;p&gt;Demonstrated ability to work as part of an effective school team&lt;p&gt;Must work as a team member in planning, delivery and assessment of programs and students&lt;p&gt;Organizational skills, initiative and a strong team focus are required&lt;p&gt;",,,,
food service supervisor,"Posted on January 02, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$19.00 to $21.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Education: Secondary (high) school graduation certificate. or equivalent experience. Experience: 1 year to less than 2 years.,English,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,
food service supervisor,"Posted on February 28, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$19.04HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate ingredient and supplies required for meal preparation . Hire food service staff. Ensure that food and service meet quality control standards. Maintain records of stock, repairs, sales and wastage. Establish work schedules. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Establish work schedules"
tour guide supervisor,"Posted on February 22, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$23.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Work site environment: Outdoors. Tasks: Perform same duties as workers supervised. Co-ordinate, assign and review work. Establish work schedules and procedures and co-ordinate activities with other work units or departments. Describe points of interest. Co-ordinate recreation activities. Work conditions and physical capabilities: Attention to detail. Personal suitability: Dependability. Efficient interpersonal skills. Excellent oral communication. Organized. Team player. Reliability. Screening questions: Are you available for the advertised start date?. Are you currently legally able to work in Canada?. Experience: 1 to less than 7 months. Financial benefits: Bonus.",English,Secondary (high) school graduation certificate,1 to less than 7 months,"Perform same duties as workers supervised, Co-ordinate, assign and review work, Establish work schedules and procedures and co-ordinate activities with other work units or departments, Describe points of interest, answer questions and supply information, Co-ordinate recreation activities"
school principal,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Inuvik, NT",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Who is BDDEC:&lt;p&gt;The Beaufort Delta Divisional Council is a forward-thinking, community-driven institution that fosters an inclusive and culturally rich learning environment. Grounded in the principles of diversity, equity, inclusion, indigenization, inquiry, and land-based education, we are dedicated to providing a holistic and competency-based curriculum that honours Indigenous knowledge and traditions.Position Overview:&lt;p&gt;We seek a dynamic and passionate Principal to join our team. The successful candidate will play a pivotal role in shaping the school's culture, implementing educational programs that celebrate diversity, promote equity, embrace the rich cultural heritage of our community, and actualize the BDDEC Vision as it pertains to the community. The candidate must have experience in creating community partnerships, relationships and programs that reflect the voice of the community and the student body. This position requires a deep commitment to indigenization, a competency-based curriculum, and an innovative approach to land-based education.Responsibilities:&lt;p&gt;Educator Development: Collaborate with educators, Elders, and community members to design and implement a competency-based curriculum rooted in Indigenous knowledge and values.Supervisory Responsibilities: Facilitate the implementation and supervision of growth-focused employee evaluation cycles for all staffCultural Inclusion: Foster a learning environment that respects and incorporates diverse Indigenous perspectives, ensuring the curriculum reflects the local Indigenous culture.Equity and Inclusion: Implement strategies to promote equity and inclusion within the school community, addressing disparities and fostering a sense of belonging for all students.Community Engagement: Liaise between the school and the community, seeking input, collaboration, and feedback to improve educational programs continuously.Land-Based Education: Develop and integrate land-based learning opportunities into the curriculum, fostering a deep connection to the land and traditional practices.Minimum Qualifications:&lt;p&gt;Bachelor's degree in Education&lt;p&gt;Eligible for a Northwest Territories teaching certificate&lt;p&gt;3 years of successful teaching experienceThe following criteria will be essential considerations in the hiring process:&lt;p&gt;Northwest Territories Educational Leadership Program or willingness to obtain &lt;p&gt;Strong understanding of Indigenous cultures, history, and traditions.&lt;p&gt;Experience in implementing Inquiry-based instructional pedagogy.&lt;p&gt;Experience in curriculum implementation, with a focus on competency-based education.&lt;p&gt;Experience in competency-based assessment and evaluation.&lt;p&gt;Demonstrated commitment to diversity, equity, and inclusion.&lt;p&gt;An understanding of the Northwest Territories Inclusive Schooling practices&lt;p&gt;Knowledge of land-based education principles and practices.&lt;p&gt;Excellent communication and interpersonal skills.Click Here to apply on this posting.",,,,
medical administrative assistant,"Posted on December 06, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$27.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year. Tasks: Interview patients to obtain case histories. Schedule and confirm appointments. Complete insurance and other claim forms. Maintain filing system. Perform general clerical work, such as order supplies and maintain inventory. Perform data entry. Provide customer service. Experience: 1 year to less than 2 years.",English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",1 year to less than 2 years,"Interview patients to obtain case histories, Schedule and confirm appointments, Complete insurance and other claim forms, Maintain filing system, Order supplies and maintain inventory, Perform data entry, Provide customer service"
elementary school teacher,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Inuvik, NT",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Who is BDDEC:&lt;p&gt;The Beaufort Delta Divisional Council is a forward-thinking, community-driven institution that fosters an inclusive and culturally rich learning environment. Grounded in the principles of diversity, equity, inclusion, indigenization, inquiry, and land-based education, we are dedicated to providing a holistic and competency-based curriculum that honours Indigenous knowledge and traditions.Position Overview:&lt;p&gt;We seek a dynamic and passionate Educator to join our team. The successful candidate will play a pivotal role in shaping and implementing educational programs that celebrate diversity, promote equity, and embrace the rich cultural heritage of our community. This position requires a deep commitment to indigenization, a competency-based curriculum, and an innovative approach to land-based education.Responsibilities:&lt;p&gt;Course Development: Collaborate with educators, Elders, and community members to design and implement a competency-based curriculum rooted in Indigenous knowledge and values.Cultural Inclusion: Foster a learning environment that respects and incorporates diverse Indigenous perspectives, ensuring the curriculum reflects the local Indigenous culture.Equity and Inclusion: Implement strategies to promote equity and inclusion within the school community, addressing disparities and fostering a sense of belonging for all students.Community Engagement: Liaise between the school and the community, seeking input, collaboration, and feedback to improve educational programs continuously.Land-Based Education: Develop and integrate land-based learning opportunities into the curriculum, fostering a deep connection to the land and traditional practices.Minimum Qualifications:&lt;p&gt;Bachelor's degree in Education&lt;p&gt;Eligible for a Northwest Territories  teaching certificateThe following criteria will be essential considerations in the hiring process:&lt;p&gt;Strong understanding of Indigenous cultures, history, and traditions.&lt;p&gt;Experience in implementing Inquiry-based instructional pedagogy.&lt;p&gt;Experience in curriculum implementation, with a focus on competency-based education.&lt;p&gt;Experience in competency-based assessment and evaluation.&lt;p&gt;Demonstrated commitment to diversity, equity, and inclusion.&lt;p&gt;An understanding of the Northwest Territories' Inclusive Schooling practices&lt;p&gt;Knowledge of land-based education principles and practices.&lt;p&gt;Excellent communication and interpersonal skills.Click Here to apply on this posting.",,,,
cleaner,"Posted on January 27, 2024",Government of Canada / Gouvernement du Canada,"Inuvik, NT",$20.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: No degree, certificate or diploma. Work setting: Cleaning service company. Various locations. Tasks: Sweep, mop, wash and polish floors. Vacuum carpeting, area rugs, draperies and upholstered furniture. Clean, disinfect and polish kitchen and bathroom fixtures and appliances. Pick up debris and empty trash containers. Transportation/travel information: Vehicle supplied by employer. Public transportation is not available. Work conditions and physical capabilities: Fast-paced environment. Tight deadlines. Repetitive tasks. Attention to detail. Experience: Will train.",English,"No degree, certificate or diploma",Will train,"Sweep, mop, wash and polish floors, Vacuum carpeting, area rugs, draperies and upholstered furniture, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Pick up debris and empty trash containers"
janitor,"Posted on February 03, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$25.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Sweep, mop, scrub and wax hallways, floors and stairs. Empty trash cans and other waste containers. Wash windows, interior walls and ceilings. Make adjustments and minor repairs to heating, cooling, ventilation, plumbing and electrical systems, and contact tradespersons for major repairs. Perform minor repairs on appliances. Perform safety and security checks. Clean and disinfect bathrooms and fixtures. Work with minimal supervision. Clean snow and ice from walkways and parking areas. Experience: Experience an asset.",English,Secondary (high) school graduation certificate,Experience an asset,"Sweep, mop, scrub and wax hallways, floors and stairs, Empty trash cans and other waste containers, Wash windows, interior walls and ceilings, Make adjustments and minor repairs to heating, cooling, ventilation, plumbing and electrical systems, and contact tradespersons for major repairs, Perform minor repairs on appliances, Perform safety and security checks, Clean and disinfect bathrooms and fixtures, Work with minimal supervision, Clean snow and ice from walkways and parking areas"
food store manager,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Fort Resolution, NT",$39.26HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. Computer and technology knowledge: Point of sale system. Accounting software. Word processing software. Inventory control software. Electronic mail. Spreadsheet. MS Outlook. Screening questions: Are you available for shift or on-call work?. Are you available for the advertised start date?. Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Do you have previous experience in this field of employment?. Do you have the above-indicated required certifications?. What is the highest level of study you have completed?. Experience: 3 years to less than 5 years. Green job: Involves duties and responsibilities that lead to positive environmental outcomes. Other benefits: On-site housing options.",English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",3 years to less than 5 years,
retail store supervisor,"Posted on March 04, 2024",Government of Canada / Gouvernement du Canada,"Enterprise, NT",$22.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Work setting: Retail service establishment. Rural area. Retail business. Gas bar. Tasks: Supervise staff (apprentices, stages hands, design team, etc.). Establish work schedules. Sell merchandise. Prepare reports on sales volumes, merchandising and personnel matters. Supervise and co-ordinate activities of workers. Supervision: 3-4 people. Area of specialization: Retail store. Transportation/travel information: Valid driver's licence. Work conditions and physical capabilities: Attention to detail. Combination of sitting, standing, walking. Standing for extended periods. Personal suitability: Client focus. Efficient interpersonal skills. Excellent oral communication. Flexibility. Organized. Reliability. Team player. Dependability. Excellent written communication. Initiative. Experience: 2 years to less than 3 years.",English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Supervise staff (apprentices, stages hands, design team, etc.), Establish work schedules, Sell merchandise, Prepare reports on sales volumes, merchandising and personnel matters, Supervise and co-ordinate activities of workers, 3-4 people"
light duty cleaner,"Posted on February 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.00HOUR hourly HOUR,Permanent employmentFull time,,2 vacancies,"Education: Secondary (high) school graduation certificate. Work site environment: Non-smoking. Work setting: Commercial building. Recreational facility/institution. Tasks: Sweep, mop, wash and polish floors. Vacuum carpeting, area rugs, draperies and upholstered furniture. Distribute clean towels and toiletries. Handle and report lost and found items. Provide basic information on facilities. Perform light housekeeping and cleaning duties. Shop for food and household supplies. Wash windows, walls and ceilings. Clean changing rooms and showers. Weight handling: Up to 23 kg (50 lbs). Personal suitability: Punctuality. Organized. Team player. Patience. Experience: 1 to less than 7 months.",English,Secondary (high) school graduation certificate,1 to less than 7 months,"Sweep, mop, wash and polish floors, Vacuum carpeting, area rugs, draperies and upholstered furniture, Distribute clean towels and toiletries, Handle and report lost and found items, Provide basic information on facilities, Perform light housekeeping and cleaning duties, Shop for food and household supplies, Wash windows, walls and ceilings, Clean changing rooms and showers"
travel specialist,"Posted on March 24, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.00 to $22.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Bachelor's degree. or equivalent experience. Asset languages: Mandarin. Japanese. Spanish; Castilian. Work setting: Willing to relocate. Corporation or company ticket office. Tasks: Investigate new travel areas, hotels and other amenities. Manage difficult situations with customers. Perform general office duties. Use principles and methods for showing, promoting, and selling products or services, which include marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Calculate costs, process refunds and attend to other financial transactions. Attend to cancellations and schedule changes. Develop contact lists. Make transportation and accommodation reservations using computerized reservation and ticketing system. Provide travel information to clients regarding destinations, transportation, accommodation options and travel costs. Specialized audio or video systems: Computer graphic imagery system. Computer and technology knowledge: Travel software packages. MS Office. Adobe Photoshop. Travel bookings: Business travel. Government travel. Leisure travel. Individual travel. Group travel. Domestic travel. International travel. Adventure travel. Geographical areas of specialization: Asia. Area of specialization: Graphic design. Transportation/travel information: Willing to travel. Work conditions and physical capabilities: Attention to detail. Work under pressure. Personal suitability: Client focus. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Flexibility. Organized. Reliability. Team player. Screening questions: Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Do you currently reside in proximity to the advertised location?. Do you have previous experience in this field of employment?. What is the highest level of study you have completed?. Experience: Experience an asset. Financial benefits: Gratuities. Other benefits: Learning/training paid by employer.",English,"Bachelor's degree

or equivalent experience",Experience an asset,"Investigate new travel areas, hotels and other amenities, Manage difficult situations with customers, Perform general office duties, Use principles and methods for showing, promoting, and selling products or services, which include marketing strategy and tactics, product demonstration, sales techniques, and sales control systems, Calculate costs, process refunds and attend to other financial transactions, Attend to cancellations and schedule changes, Develop contact lists, Make transportation and accommodation reservations using computerized reservation and ticketing system, Provide travel information to clients regarding destinations, transportation, accommodation options and travel costs"
food service supervisor,"Posted on February 20, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$21.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. or equivalent experience. Experience: 7 months to less than 1 year. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Other benefits: Deferred Profit Sharing Plan (DPSP).",English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",7 months to less than 1 year,
bottle sorter,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: No degree, certificate or diploma. Work site environment: Odours. Noisy. Work setting: Bottle depot. Tasks: Sort, pack, crate and package materials and products. Assist machine operators, assemblers and other workers. Clean machines and immediate work areas. Weight handling: Up to 23 kg (50 lbs). Own tools/equipment: Steel-toed safety boots. Safety glasses/goggles. Gloves. Personal suitability: Punctuality. Dependability. Excellent oral communication. Flexibility. Reliability. Screening questions: Are you available for the advertised start date?. Are you currently legally able to work in Canada?. Do you have previous experience in this field of employment?. Experience: Will train. Other benefits: Free parking available.",English,"No degree, certificate or diploma",Will train,"Sort, pack, crate and package materials and products, Assist machine operators, assemblers and other workers, Clean machines and immediate work areas"
cook,"Posted on January 30, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$22.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Prepare and cook complete meals or individual dishes and foods. Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies. Inspect kitchens and food service areas. Train staff in preparation, cooking and handling of food. Order supplies and equipment. Supervise kitchen staff and helpers. Maintain inventory and records of food, supplies and equipment. Clean kitchen and work areas. Manage kitchen operations. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Health care plan.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Manage kitchen operations"
food counter attendant,"Posted on January 18, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.05HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: No degree, certificate or diploma. Tasks: Keep records of the quantities of food used. Package take-out food. Portion and wrap foods. Prepare, heat and finish simple food items. Serve customers at counters or buffet tables. Stock refrigerators and salad bars. Take customers' orders. Use manual and electrical appliances to clean, peel, slice and trim foodstuffs. Work conditions and physical capabilities: Fast-paced environment. Physically demanding. Repetitive tasks. Standing for extended periods. Work under pressure. Weight handling: Up to 9 kg (20 lbs). Personal suitability: Client focus. Efficient interpersonal skills. Reliability. Team player. Experience: Will train. Other benefits: Free parking available.",English,"No degree, certificate or diploma",Will train,"Keep records of the quantities of food used, Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders, Use manual and electrical appliances to clean, peel, slice and trim foodstuffs"
Aboriginal school community teacher - secondary school,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Inuvik, NT",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Who is BDDEC:&lt;p&gt;The Beaufort Delta Divisional Council is a forward-thinking, community-driven institution that fosters an inclusive and culturally rich learning environment. Grounded in the principles of diversity, equity, inclusion, indigenization, inquiry, and land-based education, we are dedicated to providing a holistic and competency-based curriculum that honours Indigenous knowledge and traditions.Position Overview:&lt;p&gt;We seek a dynamic and passionate Educator to join our team. The successful candidate will play a pivotal role in shaping and implementing educational programs that celebrate diversity, promote equity, and embrace the rich cultural heritage of our community. This position requires a deep commitment to indigenization, a competency-based curriculum, and an innovative approach to land-based education.Responsibilities:&lt;p&gt;Course Development: Collaborate with educators, Elders, and community members to design and implement a competency-based curriculum rooted in Indigenous knowledge and values.Cultural Inclusion: Foster a learning environment that respects and incorporates diverse Indigenous perspectives, ensuring the curriculum reflects the local Indigenous culture.Equity and Inclusion: Implement strategies to promote equity and inclusion within the school community, addressing disparities and fostering a sense of belonging for all students.Community Engagement: Liaise between the school and the community, seeking input, collaboration, and feedback to improve educational programs continuously.Land-Based Education: Develop and integrate land-based learning opportunities into the curriculum, fostering a deep connection to the land and traditional practices.Minimum Qualifications:&lt;p&gt;Bachelor's degree in Education&lt;p&gt;Eligible for a Northwest Territories  teaching certificateThe following criteria will be essential considerations in the hiring process:&lt;p&gt;Strong understanding of Indigenous cultures, history, and traditions.&lt;p&gt;Experience in implementing Inquiry-based instructional pedagogy.&lt;p&gt;Experience in curriculum implementation, with a focus on competency-based education.&lt;p&gt;Experience in competency-based assessment and evaluation.&lt;p&gt;Demonstrated commitment to diversity, equity, and inclusion.&lt;p&gt;An understanding of the Northwest Territories' Inclusive Schooling practices&lt;p&gt;Knowledge of land-based education principles and practices.&lt;p&gt;Excellent communication and interpersonal skills.Click Here to apply on this posting.",,,,
